Date,POUND_Rate,Buy,Sell
22/12/2022,149.535,149.3971,149.6729
21/12/2022,149.4012,149.2671,149.5353
20/12/2022,149.8068,149.6612,149.9524
19/12/2022,149.8894,149.7482,150.0306
16/12/2022,151.8109,151.6724,151.9494
15/12/2022,152.0432,151.8988,152.1876
14/12/2022,151.8876,151.7441,152.0312
13/12/2022,150.6826,150.5371,150.8282
9/12/2022,149.7056,149.5559,149.8553
8/12/2022,149.6379,149.4947,149.7812
7/12/2022,149.7124,149.5641,149.8606
6/12/2022,150.7326,150.5876,150.8776
5/12/2022,150.5076,150.3641,150.6512
2/12/2022,149.36,149.2159,149.5041
1/12/2022,146.9238,146.7865,147.0612
30/11/2022,147.2071,147.0624,147.3518
29/11/2022,147.9729,147.8282,148.1176
28/11/2022,147.8982,147.7524,148.0441
25/11/2022,148.0324,147.8882,148.1765
24/11/2022,146.2929,146.15,146.4359
23/11/2022,145.2112,145.0653,145.3571
22/11/2022,144.2979,144.1512,144.4447
21/11/2022,145.4768,145.3347,145.6188
18/11/2022,144.8365,144.6953,144.9776
17/11/2022,144.9762,144.8429,145.1094
16/11/2022,145.2106,145.0753,145.3459
15/11/2022,143.6297,143.4929,143.7665
14/11/2022,143.1891,143.0541,143.3241
11/11/2022,139.9215,139.7847,140.0582
10/11/2022,139.6918,139.5553,139.8282
9/11/2022,139.3376,139.2006,139.4747
8/11/2022,139.1441,139.0076,139.2806
7/11/2022,136.6968,136.56,136.8335
4/11/2022,136.8968,136.7629,137.0306
3/11/2022,139.8485,139.7112,139.9859
2/11/2022,139.8879,139.7506,140.0253
1/11/2022,139.7921,139.6612,139.9229
31/10/2022,140.2965,140.1612,140.4318
28/10/2022,140.6512,140.5112,140.7912
27/10/2022,140.3274,140.1865,140.4682
26/10/2022,137.945,137.8071,138.0829
25/10/2022,137.1126,136.9712,137.2541
24/10/2022,134.9924,134.8565,135.1282
21/10/2022,136.4582,136.3241,136.5924
19/10/2022,137.13,136.9947,137.2653
18/10/2022,136.5926,136.4582,136.7271
17/10/2022,136.1274,135.9876,136.2671
14/10/2022,134.8068,134.6706,134.9429
13/10/2022,133.4506,133.3206,133.5806
12/10/2022,133.2079,133.0806,133.3353
11/10/2022,135.6238,135.4876,135.76
7/10/2022,136.7082,136.5735,136.8429
6/10/2022,137.4897,137.3559,137.6235
5/10/2022,136.4632,136.3294,136.5971
4/10/2022,135.3744,135.2365,135.5124
3/10/2022,134.6097,134.4765,134.7429
30/09/2022,130.6644,130.5341,130.7947
29/09/2022,128.1524,128.0371,128.2676
28/09/2022,130.4747,130.3453,130.6041
27/09/2022,129.9759,129.8465,130.1053
26/09/2022,134.5835,134.4524,134.7147
23/09/2022,136.5141,136.3812,136.6471
22/09/2022,136.9332,136.7965,137.07
21/09/2022,137.6435,137.5112,137.7759
20/09/2022,137.42,137.2894,137.5506
19/09/2022,137.9882,137.8494,138.1271
16/09/2022,138.6682,138.5259,138.8106
15/09/2022,139.2694,139.13,139.4088
14/09/2022,140.4294,140.2871,140.5718
12/9/2022,139.1009,138.9659,139.2359
9/9/2022,138.7535,138.6153,138.8918
8/9/2022,138.2444,138.1076,138.3812
7/9/2022,138.8982,138.7618,139.0347
6/9/2022,138.2379,138.1012,138.3747
5/9/2022,138.9162,138.7782,139.0541
2/9/2022,139.0603,138.9235,139.1971
1/9/2022,139.8756,139.7359,140.0153
31/08/2022,140.4988,140.3588,140.6388
30/08/2022,140.8541,140.7153,140.9929
29/08/2022,141.7779,141.6429,141.9129
26/08/2022,141.7106,141.5694,141.8518
25/08/2022,141.2762,141.1406,141.4118
24/08/2022,141.2124,141.0747,141.35
23/08/2022,141.4521,141.3129,141.5912
22/08/2022,142.27,142.1294,142.4106
19/08/2022,144.1456,144.0047,144.2865
18/08/2022,144.0115,143.8694,144.1535
17/08/2022,144.0115,143.8694,144.1535
16/08/2022,144.5074,144.3618,144.6529
15/08/2022,144.8009,144.6618,144.94
12/8/2022,145.4203,145.2765,145.5641
11/8/2022,144.8844,144.7447,145.0241
10/8/2022,144.3606,144.2188,144.5024
8/8/2022,144.3521,144.2088,144.4953
5/8/2022,144.5062,144.3671,144.6453
4/8/2022,144.9318,144.7882,145.0753
3/8/2022,145.3556,145.2165,145.4947
2/8/2022,145.4032,145.2624,145.5441
1/8/2022,144.4294,144.2853,144.5735
29/07/2022,143.6903,143.5465,143.8341
28/07/2022,143.0547,142.9153,143.1941
27/07/2022,142.6912,142.5471,142.8353
26/07/2022,142.7032,142.5612,142.8453
25/07/2022,141.7359,141.5953,141.8765
22/07/2022,141.6103,141.4694,141.7512
21/07/2022,142.0706,141.9276,142.2135
20/07/2022,141.9135,141.7729,142.0541
19/07/2022,141.1629,141.0194,141.3065
18/07/2022,140.0476,139.9082,140.1871
15/07/2022,140.3121,140.1765,140.4476
14/07/2022,140.5479,140.4059,140.69
13/07/2022,140.6512,140.5094,140.7929
12/7/2022,141.5432,141.4029,141.6835
8/7/2022,141.3388,141.2024,141.4753
7/7/2022,141.2174,141.0771,141.3576
6/7/2022,141.8679,141.7294,142.0065
5/7/2022,143.0982,142.9535,143.2429
4/7/2022,142.6335,142.4906,142.7765
1/7/2022,143.0509,142.9059,143.1959
30/06/2022,143.7006,143.5582,143.8429
29/06/2022,144.3647,144.2182,144.5112
28/06/2022,144.3571,144.2135,144.5006
27/06/2022,144.3176,144.1735,144.4618
24/06/2022,143.9156,143.7724,144.0588
23/06/2022,143.9262,143.7841,144.0682
22/06/2022,144.22,144.0724,144.3676
21/06/2022,143.6832,143.54,143.8265
20/06/2022,143.815,143.6735,143.9565
17/06/2022,142.1753,142.0341,142.3165
16/06/2022,141.3891,141.2476,141.5306
15/06/2022,142.5818,142.4418,142.7218
14/06/2022,144.0906,143.9459,144.2353
13/06/2022,146.4394,146.29,146.5888
10/6/2022,146.9444,146.7988,147.09
9/6/2022,147.07,146.9241,147.2159
8/6/2022,146.5035,146.3576,146.6494
7/6/2022,146.9359,146.7859,147.0859
6/6/2022,146.9826,146.8324,147.1329
3/6/2022,146.9094,146.7624,147.0565
2/6/2022,147.2074,147.0582,147.3565
31/05/2022,147.4479,147.2988,147.5971
30/05/2022,147.4521,147.3035,147.6006
27/05/2022,147.1265,146.9824,147.2706
26/05/2022,146.2797,146.1294,146.43
25/05/2022,146.1568,146.0065,146.3071
24/05/2022,146.5468,146.4,146.6935
23/05/2022,145.6768,145.5306,145.8229
20/05/2022,145.1318,144.9847,145.2788
19/05/2022,144.9221,144.7776,145.0665
18/05/2022,144.7794,144.6359,144.9229
17/05/2022,142.9882,142.8429,143.1335
